gene,pvalue,rsids,study_accession
DLG2,3e-10,rs12283611,GCST009325
DNAH1,3.0000000000000004e-08,rs143918452,GCST004902
DNAH17,3.0000000000000004e-09,rs666463,GCST009325
DYRK1A,3e-11,rs2248244,GCST009325
ELOVL7,3e-23,rs1867598,GCST009325
FAM126A,2e-12,rs10256359,GCST003984
FAM171A1,1e-08,rs10906923,GCST004902
FAM171A2,1e-11,rs850738,GCST009325
FAM200B,1e-19,rs11724635,GCST004902
FAM47E,5e-19,rs4101061,GCST009325
FAM47E-STBD1,5.999999999999999e-21,rs6854006,GCST009325
FAM49B,2e-08,rs2086641,GCST009325
FBRSL1,2e-10,rs11610045,GCST009325
FCGR2A,6e-12,rs6658353,GCST009325
FGD4,8e-11,rs181609621,GCST009325
FGF20,3.0000000000000002e-15,rs620513,GCST009325
FYN,2e-09,rs997368,GCST009325
GAK,1e-43,rs34311866,GCST002544
GALC,6e-11,rs979812,GCST009325
GBA,3e-35,rs35749011,GCST004902
GBAP1,2e-22,rs76763715,GCST009325
GBF1,1e-09,rs10748818,GCST009325
GCH1,2e-16,rs11158026,GCST009325
GPNMB,5e-26,rs199351,GCST009325
GPR65,6e-10,rs8005172,GCST010991
GPRIN3,1e-56,rs356182,GCST003984
GS1-124K5.11,1e-08,rs76949143,GCST009325
GXYLT1,7e-12,rs138017112,GCST009325
HASPIN,2e-15,rs117672332,GCST012431
HIP1R,1e-37,rs10847864,GCST009325
HIST1H2BL,2e-10,rs4713118,GCST003984
HLA,5e-10,rs3129882,GCST002353
HLA-DQA1,4e-17,rs17425622,GCST003984
HLA-DQB,1e-12,rs9275326,GCST002544
HLA-DQB1,2e-08,rs9275152,GCST009512
HLA-DRA,2e-10,rs3129882,GCST000772
HLA-DRB1,6e-12,rs2647062,GCST010991
HLA-DRB5,7e-28,rs112485576,GCST009325
HLA-DRB6,1e-13,rs9275326,GCST004902
HUSEYO,4e-10,rs2338971,GCST002353
IGSF9B,5.999999999999999e-20,rs3802920,GCST009325
IL1R2,4.9999999999999995e-11,rs34043159,GCST004902
INPP5F,2e-28,rs117896735,GCST009325
IP6K2,1e-10,rs12497850,GCST009325
ITGA8,3.0000000000000003e-13,rs896435,GCST009325
ITIH3,3.0000000000000004e-08,rs143918452,GCST004902
ITIH4,3.0000000000000004e-08,rs143918452,GCST004902
ITPKB,1e-15,rs4653767,GCST009325
KANSL1,1e-68,rs17649553,GCST004902
KAT8,5e-12,rs14235,GCST004902
KCNIP3,1e-08,rs2042477,GCST009325
KCNS3,1e-08,rs76116224,GCST009325
KIAA1267,2e-16,rs393152,GCST000528
KLHDC1,5e-08,rs79503702,GCST003652
KLHL7,4e-18,rs199347,GCST004902
KPNA1,1e-11,rs55961674,GCST009325
KRTCAP2,2e-70,rs35749011,GCST009325
LAMP3,8e-12,rs11711441,GCST000959
LCORL,3e-10,rs34025766,GCST009325
LHFPL2,1e-11,rs344650,GCST003652
LINC00693,8e-12,rs6808178,GCST009325
LOC100131289,6e-12,rs4140646,GCST009325
LOC642072,3e-11,rs2395163,GCST001430
LOC644246,2e-16,rs393152,GCST000528
LPPR1,9.000000000000001e-09,rs73656147,GCST007198
LRRC37A3,4e-32,rs365825,GCST003984
LRRK2,4e-148,rs34637584,GCST009325
MAP3K14,8e-27,rs17686238,GCST009325
MAP4K4,8e-13,rs11683001,GCST009325
MAPT,1e-68,rs17649553,GCST004902
MAPT-AS1,1e-37,rs7221167,GCST009325
MBNL2,1e-09,rs4771268,GCST009325
MCCC1,1e-34,rs10513789,GCST009325
MED12L,1e-10,rs11707416,GCST009325
MEX3C,1e-08,rs8087969,GCST009325
MICU3,2e-11,rs591323,GCST004902
MIPOL1,4e-08,rs12147950,GCST009325
MIR4697,1e-13,rs329648,GCST004902
MUC12,3.0000000000000002e-18,rs78837976,GCST012431
NCKIPSD,9.000000000000001e-09,rs12497850,GCST004902
NDN,3.0000000000000004e-09,rs9783733,GCST011677
NDUFAF2,1e-08,rs162227,GCST003984
NISCH,3.0000000000000004e-08,rs143918452,GCST004902
NOD2,2e-09,rs6500328,GCST009325
NSF,8.999999999999999e-67,rs199453,GCST009325
NUCKS1,1e-29,rs823118,GCST009325
NUPL2,4e-18,rs199347,GCST004902
OGFOD2,2e-20,rs11060180,GCST004902
OR9Q1,2e-09,rs687432,GCST003984
PAM,2e-09,rs26431,GCST009325
PARK16,4e-21,rs6679073,GCST010049
PARK2,4e-13,rs9356013,GCST009513
PDLIM2,3.0000000000000004e-08,rs2280104,GCST004902
PHF7,3.0000000000000004e-08,rs143918452,GCST004902
PKP2,4e-21,rs144847051,GCST003984
PM20D1,2e-12,rs947211,GCST000530
PMVK,4e-09,rs114138760,GCST009325
POLRMTP1,1e-08,rs148534175,GCST010991
PRICKLE1,5e-09,rs148294058,GCST003984
PWRN4,3.0000000000000004e-09,rs9783733,GCST011677
RAB25,4e-12,rs34372695,GCST010991
RAB29,3e-22,rs11557080,GCST009325
RAB7L1,2e-16,rs823118,GCST002544
RETREG3,1e-09,rs12951632,GCST009325
RIMS1,2e-10,rs12528068,GCST009325
RIT2,4e-23,rs12456492,GCST009325
RN7SL474P,2e-08,rs11203810,GCST010991
RNF141,2e-09,rs7938782,GCST009325
RP11-162I7,7.000000000000001e-09,rs3889108,GCST010991
RPS12,1e-10,rs75859381,GCST009325
RPS6KL1,2e-09,rs3742785,GCST009325
RSL24D1P1,2e-09,rs9468195,GCST010991
SATB1,6.000000000000001e-13,rs73038319,GCST009325
SCAF11,4e-08,rs7134559,GCST009325
SCARB2,3e-11,rs6812193,GCST002544
SCN3A,3.0000000000000004e-08,rs353116,GCST004902
SEMA4A,8e-22,rs35643925,GCST009325
SETD1A,5e-20,rs11150601,GCST009325
SH3GL2,9.000000000000001e-18,rs13294100,GCST009325
SIPA1L2,7e-17,rs10797576,GCST009325
SLC2A13,7.000000000000001e-26,rs28370664,GCST010991
SLC41A1,1e-23,rs823118,GCST004902
SLC44A4,4e-11,rs9267659,GCST009325
SLC45A3,2e-12,rs947211,GCST000530
SNCA,4e-154,rs356182,GCST009325
SORBS3,3.0000000000000004e-08,rs2280104,GCST004902
SPPL2B,4e-10,rs55818311,GCST009325
SPPL2C,1e-68,rs17649553,GCST004902
SPTSSB,5e-10,rs1450522,GCST009325
STAB1,3.0000000000000004e-08,rs143918452,GCST004902
STH,1e-68,rs17649553,GCST004902
STK39,2.9999999999999996e-39,rs1474055,GCST009325
STX1B,2e-12,rs14235,GCST002544
SV2C,6e-10,rs246814,GCST010049
SYT10,4e-21,rs144847051,GCST003984
SYT11,1e-29,rs35749011,GCST002544
SYT17,3e-11,rs6497339,GCST009325
SYT4,6e-16,rs12456492,GCST004902
TBC1D5,9.000000000000001e-09,rs13078687,GCST010991
TEKT4,8e-10,rs187989831,GCST012431
TIAL1,3e-11,rs188789342,GCST003984
TLR9,3.0000000000000004e-08,rs143918452,GCST004902
TMEM163,8e-24,rs6430538,GCST004902
TMEM175,1e-69,rs34311866,GCST009325
TMEM229B,7e-14,rs1555399,GCST002544
TOX3,1e-10,rs4784227,GCST004902
TPM1,9e-11,rs117267308,GCST003652
TRIM40,2e-08,rs9261484,GCST009325
UBAP2,7.000000000000001e-09,rs6476434,GCST009325
UBTF,6e-10,rs2269906,GCST009325
VAMP4,4e-09,rs11578699,GCST009325
VPS13C,6.0000000000000004e-18,rs2251086,GCST009325
WDR41,2e-08,rs137887044,GCST012431
WNT3,3e-17,rs199515,GCST001430
ZNF184,1e-12,rs9468199,GCST004902
ZNF608,3.0000000000000004e-09,rs6875262,GCST010991
ZNF646,5e-12,rs14235,GCST004902
