gene,pvalue,rsids,study_accession
CTB-179K24.3,2e-15,rs60239918,GCST007320
CTNNA2,1e-08,rs6738962,GCST001915
CYB561,4e-12,rs4968782,GCST002665
DCUN1D5,2e-44,rs573521,GCST002665
DDB2,3e-16,rs10501320,GCST007825
DGKZ,3e-16,rs10501320,GCST007825
ECHDC3,1e-08,rs11257238,GCST007320
EPHA1,1e-13,rs11771145,GCST002245
EPHA1-AS1,1e-10,rs10808026,GCST007827
ERCC1,1e-97,rs157595,GCST007827
ERCC2,1e-97,rs157595,GCST007827
EXOC3L2,9e-116,rs2075650,GCST002422
F2,3e-16,rs10501320,GCST007825
FAM180B,3e-16,rs10501320,GCST007825
FAM46A,1e-09,rs72907046,GCST003452
FAM47E,5e-09,rs920608,GCST012215
FBXL7,5e-08,rs75002042,GCST002983
FERMT2,8e-09,rs17125944,GCST002245
FLJ45256,4e-08,rs8045064,GCST001915
FNBP4,3e-16,rs10501320,GCST007825
FNTAP1,1e-08,rs3851179,GCST009496
FOSB,1e-97,rs157595,GCST007827
FRMD4A,1e-10,rs17314229;rs2446581;rs7081208,GCST001449
GAB2,1e-10,rs2373115,GCST000046
GAPDHP15,2e-13,rs1936246,GCST002814
GEMC1,5e-09,rs9877502,GCST001951
GEMIN7,1e-97,rs157595,GCST007827
GLIS3,3.0000000000000004e-09,rs514716,GCST001951
GRIN3B,2e-09,rs115550680,GCST001963
HARBI1,3e-16,rs10501320,GCST007825
HBEGF,7.000000000000001e-09,rs11168036,GCST004246
HESX1,1e-08,rs184384746,GCST007320
HLA-DRA,1e-10,rs9469112,GCST007320
HLA-DRB1,3e-12,rs9271192,GCST002245
HLA-DRB5,3e-12,rs9271192,GCST002245
HMHA1,2e-09,rs115550680,GCST001963
HS3ST1,9e-12,rs4351014,GCST012182
ICT1,2e-08,rs9899728,GCST003423
IGF1R,2e-09,rs570487962,GCST011696
IGSF23,6.9999999999999995e-74,rs77301115,GCST007827
IL34,4e-10,rs4985556,GCST012182
IL6R,6.000000000000001e-63,rs61812598,GCST002665
INPP5D,5e-09,rs35349669,GCST007320
INPPD5,9e-10,rs10933431,GCST007320
Intergenic,2.9999999999999996e-24,rs56131196,GCST003427
KANSL1,6.000000000000001e-09,rs2732703,GCST002817
KAT8,4e-08,rs59735493,GCST007320
KBTBD4,3e-16,rs10501320,GCST007825
KCTD2,2e-08,rs9899728,GCST003423
KIR3DL2,8e-09,rs640345,GCST009496
KLC3,1e-97,rs157595,GCST007827
LILRA3,6e-12,rs759819,GCST007827
LILRA5,6e-12,rs759819,GCST007827
LILRB2,6e-12,rs759819,GCST007827
LIPC,4e-84,rs261291,GCST007827
LIPG,2e-12,rs35816125,GCST007827
LOC105373605,2e-15,rs7561528,GCST009496
LRP4,3e-16,rs10501320,GCST007825
LRP4-AS1,3e-16,rs10501320,GCST007825
LRRC27A,6.000000000000001e-09,rs2732703,GCST002817
LTF,2e-13,rs6808835,GCST002665
MADD,3e-16,rs10501320,GCST007825
MAN2A1,9e-13,rs112724034,GCST001915
MAPK8IP1,2e-13,rs12805422,GCST007825
MAPT,6.000000000000001e-09,rs2732703,GCST002817
MARK4,1e-97,rs157595,GCST007827
MDK,3e-16,rs10501320,GCST007825
MEF2C,3.0000000000000004e-08,rs190982,GCST002245
MIR3160-1,3e-16,rs10501320,GCST007825
MIR3160-2,3e-16,rs10501320,GCST007825
MIR4531,6.9999999999999995e-74,rs77301115,GCST007827
MIR4688,3e-16,rs10501320,GCST007825
MIR4752,6e-12,rs759819,GCST007827
MIR5582,3e-16,rs10501320,GCST007825
MIR6745,3e-16,rs10501320,GCST007825
MIR6843,1e-17,rs2279590,GCST007826
MIR8085,1e-97,rs157595,GCST007827
MMP12,2e-44,rs573521,GCST002665
MMP13,2e-44,rs573521,GCST002665
MMP3,2e-44,rs573521,GCST002665
MS4,2e-09,rs1582763,GCST002817
MS4A,4e-11,rs1562990,GCST001087
MS4A2,9e-13,rs983392,GCST009021
MS4A4A,8e-12,rs4938933,GCST001026
MS4A4E,2e-14,rs610932,GCST001025
MS4A6A,6e-16,rs983392,GCST002245
MS4A6E,2e-09,rs1582763,GCST002817
MTCH2,3e-16,rs10501320,GCST007825
MTHFD1L,2e-10,rs11754661,GCST000808
MYBPC3,3e-16,rs10501320,GCST007825
MYO16,2e-08,rs17393344,GCST001915
NCK2,1e-12,rs143080277,GCST90012877
NCR2,4e-08,rs6922617,GCST001951
NCTIN2,7e-39,rs6859,GCST009496
NDUFAF6,2e-08,rs10098778,GCST009021
NDUFAF7,1e-09,rs876461,GCST012182
NDUFS3,3e-16,rs10501320,GCST007825
NFIC,2e-08,rs9749589,GCST004247
NKPD1,1e-97,rs157595,GCST007827
NME8,5e-09,rs2718058,GCST002245
NR,1.9999999999999998e-208,rs157580,GCST005922
NR1H3,3e-16,rs10501320,GCST007825
NUP160,3e-16,rs10501320,GCST007825
OPA3,1e-97,rs157595,GCST007827
OR2B2,2e-08,rs1497525,GCST012214
OR4S1,6e-10,rs1483121,GCST007825
OSBPL6,5e-08,rs1347297,GCST003427
OSTNIL1-RAP,5e-09,rs9877502,GCST001951
PACSIN3,3e-16,rs10501320,GCST007825
PDE7B,1e-08,rs11154851,GCST001915
PEX16,2e-13,rs12805422,GCST007825
PFDN1,7.000000000000001e-09,rs11168036,GCST004246
PGAM5P1,9e-13,rs112724034,GCST001915
PICALM,9e-26,rs10792832,GCST002245
PLCG2,7e-12,rs12444183,GCST012182
PMS2CL,3.0000000000000004e-08,rs116139393,GCST002814
PPM1N,1e-97,rs157595,GCST007827
PPP1R13L,1e-97,rs157595,GCST007827
PPP1R37,1e-97,rs157595,GCST007827
PRKD3,1e-09,rs876461,GCST012182
PSMA1,6.999999999999999e-11,rs11023139,GCST001915
PSMC3,3e-16,rs10501320,GCST007825
PTK2B,5.999999999999999e-20,rs4236673,GCST007319
PTPMT1,3e-16,rs10501320,GCST007825
PTPRG,4e-08,rs7609954,GCST003427
PTPRJ,3e-16,rs10501320,GCST007825
PVR,9e-116,rs2075650,GCST002422
PVRL2,1e-152,rs6859,GCST007320
RAPSN,3e-16,rs10501320,GCST007825
RBBP4P4,2e-13,rs1936246,GCST002814
RELB,1e-97,rs157595,GCST007827
RIN3,6.000000000000001e-09,rs10498633,GCST002245
RRAS2,6.999999999999999e-11,rs11023139,GCST001915
RTN2,1e-97,rs157595,GCST007827
SAP30L,1e-08,rs148763909,GCST001915
SCARB1,4e-09,rs78194510,GCST007827
SCIMP,9e-10,rs113260531,GCST007320
SDF2L1,4e-12,rs5754166,GCST007827
SEMA3C,1e-08,rs2525776,GCST003452
SHE,6.000000000000001e-63,rs61812598,GCST002665
SLC24A4,2e-10,rs12590654,GCST007320
SLC39A13,3e-16,rs10501320,GCST007825
SNAR-I,5e-09,rs9877502,GCST001951
SNORD67,3e-16,rs10501320,GCST007825
SORL1,1e-14,rs11218343,GCST002245
SPI1,3e-16,rs10501320,GCST007825
SPON1,6.999999999999999e-11,rs11023139,GCST001915
STAG3,3.0000000000000004e-08,rs4727449,GCST007320
SUZ12P1,5e-08,rs8093731,GCST007319
TCF7L2,5e-09,rs17747324,GCST007825
TDRD10,6.000000000000001e-63,rs61812598,GCST002665
TGM6,3.0000000000000004e-08,rs34972666,GCST001915
TLN2,7.000000000000001e-10,rs7175766;rs3733980,GCST008056
TOMM40,8e-220,rs157580,GCST007320
TP53INP1,2e-08,rs10098778,GCST009021
TRAPPC6A,1e-97,rs157595,GCST007827
TREM,4e-08,rs6922617,GCST001951
TREM2,1e-16,rs187370608,GCST007320
TSPAN13,6e-11,rs58370486,GCST001915
UBE2L3,4e-12,rs5754166,GCST007827
UBE2Q1,6.000000000000001e-63,rs61812598,GCST002665
UNC5CL,2e-23,rs187370608,GCST90012877
USP6NL,3.0000000000000004e-08,rs7920721,GCST004246
UTS2D,5e-09,rs9877502,GCST001951
VASP,1e-97,rs157595,GCST007827
WTAPP1,2e-44,rs573521,GCST002665
WWC1,7.000000000000001e-10,rs7175766;rs3733980,GCST008056
YDJC,4e-12,rs5754166,GCST007827
ZCWPW1,2e-15,rs1859788,GCST007320
ZNF12,3.0000000000000004e-08,rs116139393,GCST002814
ZNF292,3.0000000000000004e-08,rs1925690,GCST000893
ZNF296,1e-97,rs157595,GCST007827
ZNF408,3e-16,rs10501320,GCST007825
ZYX,1e-10,rs10808026,GCST007827
intergenic,4e-08,rs4676049,GCST000808
snoZ6,1e-11,rs150820726,GCST007320
